true_year,se,accuracy,period
1550,30,100,Precontact
1600,30,100,Precontact
1660,30,97.92999999999999,Precontact
1700,30,76.59,Precontact
1722,30,49.54,Postcontact
1750,30,82.84,Postcontact
1800,30,99.51,Postcontact
1850,30,99.99,Postcontact
1550,50,99.95,Precontact
1600,50,99.33,Precontact
1660,50,89.12,Precontact
1700,50,66.97999999999999,Precontact
1722,50,51.01,Postcontact
1750,50,71.27,Postcontact
1800,50,94.07,Postcontact
1850,50,99.37,Postcontact
1550,100,95.78,Precontact
1600,100,89.63,Precontact
1660,100,72.97,Precontact
1700,100,58.78,Precontact
1722,100,49.59,Postcontact
1750,100,61.63999999999999,Postcontact
1800,100,77.8,Postcontact
1850,100,89.72,Postcontact
1550,150,87.53999999999999,Precontact
1600,150,79.54,Precontact
1660,150,66.66,Precontact
1700,150,55.55,Precontact
1722,150,49.68,Postcontact
1750,150,57.26,Postcontact
1800,150,70.32000000000001,Postcontact
1850,150,80.30000000000001,Postcontact
1550,200,80.55,Precontact
1600,200,72.67,Precontact
1660,200,62.339999999999996,Precontact
1700,200,54.910000000000004,Precontact
1722,200,50.93,Postcontact
1750,200,55.96,Postcontact
1800,200,64.77000000000001,Postcontact
1850,200,73.29,Postcontact
1550,250,75.6,Precontact
1600,250,68.46,Precontact
1660,250,59.85,Precontact
1700,250,52.82,Precontact
1722,250,50.739999999999995,Postcontact
1750,250,55.00000000000001,Postcontact
1800,250,62.01,Postcontact
1850,250,68.77,Postcontact
1550,299,71.74000000000001,Precontact
1600,299,65.64999999999999,Precontact
1660,299,58.57,Precontact
1700,299,53.800000000000004,Precontact
1722,299,50.449999999999996,Postcontact
1750,299,53.64,Postcontact
1800,299,61.07,Postcontact
1850,299,66.67999999999999,Postcontact
