parameter,prior_value,median_uncertainty,mean_uncertainty,rhat_max,ess_min,baseline,pct_change,fold_reduction
EHT_sd,3,301.5003297192223,300.4969880149713,1.0014539610860913,3293.8313363227217,301.5003297192223,0,1
EHT_sd,1,298.5960856003877,296.79334419260005,1.001504097396073,3466.007329211257,301.5003297192223,-0.963263994284588,3
EHT_sd,0.3,296.70402078109487,295.40826242098257,1.0020833462632412,3601.7954076566393,301.5003297192223,-1.5908138284936784,10
EHT_sd,0.1,296.383251711685,295.12751980495705,1.0011262250454334,3616.3462243524364,301.5003297192223,-1.6972047799425918,30
H2Ot_sigma,0.08,297.8488485295053,295.7382871798791,1.0011422867520439,4060.0128501475383,297.8488485295053,0,1
H2Ot_sigma,0.04,297.0807884317595,296.07805059126235,1.0016980602439025,3327.9634800375857,297.8488485295053,-0.2578690841135447,2
H2Ot_sigma,0.02,297.25068077959725,295.8247821301417,1.0013180251922185,2732.699044706993,297.8488485295053,-0.20082929743097128,4
H2Ot_sigma,0.005,297.43324311877313,296.31932738762106,1.0009477289761608,3546.0222945904425,297.8488485295053,-0.13953567817502735,16
Ea_sigma,2000,302.9616058351349,302.0639190853527,1.003137988387782,3161.5422698278426,302.9616058351349,0,1
Ea_sigma,1000,300.44207292058377,298.3489275665466,1.001910838149306,2704.9622354243593,302.9616058351349,-0.8316343939377573,2
Ea_sigma,500,297.71500088895925,296.6103108774085,1.000929865084436,3847.241123734398,302.9616058351349,-1.7317722262901938,4
Ea_sigma,100,298.0182924980768,296.25134411351405,1.0011112905167432,3388.5785400040977,302.9616058351349,-1.6316633005134467,20
RH_sd,0.1,297.6556992223667,296.42826928595906,1.0020939741027577,2862.3483483242035,297.6556992223667,0,1
RH_sd,0.05,297.33743946905105,296.15083070635706,1.00121804290074,4170.272795896017,297.6556992223667,-0.10692210972177588,2
RH_sd,0.02,296.08352730443903,295.245655879079,1.0007754819871855,4276.668050175494,297.6556992223667,-0.528184718799276,5
RH_sd,0.005,296.43551223912885,294.9940664941978,1.000529740916884,4621.5738133812665,297.6556992223667,-0.4099323434510484,20
