lab_id,study_area,stevenson_age,stevenson_sd,post_mean,post_sd,q025,q975,ci_width,age_diff,exceeds_claimed
DHR-1616,SA1,327.5943806226352,30,445.6726193952459,155.68545071053964,164.6497092957823,771.1203780814076,606.4706687856253,118.07823877261069,TRUE
DHR-1617,SA1,393.6031837077273,30,482.57312806564084,156.5388481646634,192.5797821351969,795.8905316815213,603.3107495463245,88.96994435791356,TRUE
DHR-1618,SA1,383.3504031264037,30,486.8901939418812,155.08274151106306,197.22446634627875,801.7249192903168,604.5004529440381,103.53979081547749,TRUE
DHR-1619,SA1,565.623660995245,30,553.4680497390989,150.88694771225138,262.0995613072226,844.6972531339796,582.597691826757,-12.15561125614613,TRUE
DHR-1620,SA1,653.4385919180268,30,579.6322214588479,147.6414224252235,286.65947728213433,854.5385799969446,567.8791027148102,-73.80637045917888,TRUE
DHR-1621,SA1,401.4527334460588,30,479.6166851957676,157.27758321713196,188.5764629949996,796.9630685819745,608.386605586975,78.16395174970881,TRUE
DHR-1622,SA1,253.59765550446147,30,402.0543549548562,153.0307116802938,139.802884439929,725.312321448242,585.509437008313,148.45669945039472,TRUE
DHR-1623,SA1,728.308716958112,30,608.2759446927113,144.09082879426887,317.41773771134154,868.6567589878897,551.2390212765481,-120.0327722654007,TRUE
DHR-1624,SA1,258.1373075638089,30,397.9335387241251,151.15459925067447,137.94445496460932,721.7074942807232,583.7630393161138,139.7962311603162,TRUE
DHR-1625,SA1,673.0598715931487,30,588.1238140517675,149.05102242945938,292.35485021038386,861.5145378763391,569.1596876659553,-84.93605754138127,TRUE
DHR-1626,SA1,382.28527678255466,30,459.0992146659633,155.09492778680826,173.2590449025715,777.244668402807,603.9856235002354,76.81393788340864,TRUE
DHR-1627,SA1,568.0216037823345,30,563.3888171668206,152.59568274015047,264.56002402902766,854.0103767453894,589.4503527163617,-4.6327866155139645,TRUE
DHR-1628,SA1,427.690708899932,30,490.2045639352757,154.17876176204265,202.35838661975595,800.5581778604995,598.1997912407436,62.51385503534368,TRUE
DHR-1629,SA1,520.6790264912705,30,536.3269663025527,152.6594883370781,242.20165075292581,834.3129379082656,592.1112871553397,15.647939811282185,TRUE
DHR-1630,SA1,480.4984694233154,30,521.5889063211744,151.49355090931112,230.56455766812655,824.6760565145947,594.1114988464682,41.09043689785898,TRUE
DHR-1631,SA1,308.44697416632164,30,440.04383089407054,155.08365770979722,162.59655648520817,761.0375689242991,598.4410124390909,131.5968567277489,TRUE
DHR-1632,SA1,393.501601174955,30,482.17192389253574,152.91764839676333,195.9668889464148,789.4231614605967,593.4562725141819,88.67032271758075,TRUE
DHR-1633,SA1,669.2750604325465,30,602.08725070904,144.57757586732225,314.4096692282869,864.5967981127199,550.1871288844329,-67.18780972350658,TRUE
DHR-1634,SA1,436.0765294842161,30,507.3576942181371,155.66474877650467,213.97560486368775,816.9019053622806,602.9263004985928,71.281164733921,TRUE
DHR-1635,SA1,314.74696184531103,30,438.63666315767676,155.65184507855383,161.27417513706237,762.6322290884767,601.3580539514144,123.88970131236573,TRUE
DHR-1636,SA1,410.838586994008,30,488.0134418349816,153.79010908458855,200.47764517052,792.9851142559876,592.5074690854676,77.17485484097364,TRUE
DHR-1638,SA1,646.314133878384,30,588.2646408649288,145.48278566419998,299.91207280688013,857.1751364159245,557.2630636090444,-58.049493013455276,TRUE
DHR-1639,SA1,489.0735962223376,30,531.9234817878524,154.1265281000706,232.21735167635154,831.016429140323,598.7990774639715,42.84988556551485,TRUE
DHR-1640,SA1,552.484785647533,30,538.8757845074027,153.3429441061544,242.04467287569176,835.6048596498698,593.5601867741781,-13.609001140130317,TRUE
