parameter,prior_value,fold_reduction,median_uncertainty,pct_change
EHT (deg C),3,1,301.5003297192223,0
EHT (deg C),1,3,298.5960856003877,-0.963263994284588
EHT (deg C),0.3,10,296.70402078109487,-1.5908138284936784
EHT (deg C),0.1,30,296.383251711685,-1.6972047799425918
H2Ot (wt%),0.08,1,297.8488485295053,0
H2Ot (wt%),0.04,2,297.0807884317595,-0.2578690841135447
H2Ot (wt%),0.02,4,297.25068077959725,-0.20082929743097128
H2Ot (wt%),0.005,16,297.43324311877313,-0.13953567817502735
Ea (J/mol),2000,1,302.9616058351349,0
Ea (J/mol),1000,2,300.44207292058377,-0.8316343939377573
Ea (J/mol),500,4,297.71500088895925,-1.7317722262901938
Ea (J/mol),100,20,298.0182924980768,-1.6316633005134467
RH (fraction),0.1,1,297.6556992223667,0
RH (fraction),0.05,2,297.33743946905105,-0.10692210972177588
RH (fraction),0.02,5,296.08352730443903,-0.528184718799276
RH (fraction),0.005,20,296.43551223912885,-0.4099323434510484
