parameter,prior,post_mean,post_sd,q025,q975,tier
μ_H₂Ot (wt%),"N(0.18, 0.08)",0.1888,0.072,0.0654,0.3397,Tier 1
σ_H₂Ot (wt%),Exp(10),0.1107,0.1009,0.0126,0.3841,Tier 1
μ_Ea (J/mol),"N(84000, 2000)",85713,198,85259,85986,Tier 1
σ_Ea (J/mol),Exp(0.0005),327,185,107,786,Tier 1
age (years BP),"N(500, 200)",509.1,151.8,221.5,809.4,Tier 1
μ_H₂Ot (wt%),"N(0.18, 0.08)",0.1892,0.0721,0.0659,0.3398,Tier 2
σ_H₂Ot (wt%),Exp(10),0.1107,0.1008,0.0128,0.3793,Tier 2
μ_Ea (J/mol),"N(84000, 2000)",84263,932,82372,85835,Tier 2
σ_Ea (J/mol),Exp(0.0005),332,187,108,788,Tier 2
μ_EHT[SA1] (°C),"N(22.5, 2.5)",22.4042,1.4508,19.4399,25.1789,Tier 2
σ_EHT[SA1] (°C),Exp(0.33),0.5981,0.4416,0.1159,1.705,Tier 2
μ_EHT[SA2] (°C),"N(22.5, 2.5)",22.1168,1.5921,18.8928,25.224,Tier 2
σ_EHT[SA2] (°C),Exp(0.33),1.0287,1.205,0.1272,4.0497,Tier 2
μ_EHT[SA3] (°C),"N(22.5, 2.5)",21.7311,1.5178,18.7181,24.6358,Tier 2
σ_EHT[SA3] (°C),Exp(0.33),0.8661,0.871,0.121,2.9155,Tier 2
μ_RH[SA1],"N(0.85, 0.1)",0.8504,0.0753,0.7154,0.9849,Tier 2
σ_RH[SA1],Exp(5),0.1283,0.1628,0.0119,0.5893,Tier 2
μ_RH[SA2],"N(0.85, 0.1)",0.8486,0.0747,0.7144,0.9847,Tier 2
σ_RH[SA2],Exp(5),0.1708,0.1874,0.0128,0.6887,Tier 2
μ_RH[SA3],"N(0.85, 0.1)",0.8455,0.0744,0.7135,0.9843,Tier 2
σ_RH[SA3],Exp(5),0.1636,0.184,0.0126,0.679,Tier 2
e_RH,"N(2.15, 0.5)",1.6493,0.4576,0.7759,2.572,Tier 2
age (years BP),"N(500, 200)",512,153.6,221.1,815.2,Tier 2
μ_H₂Ot (wt%),"N(0.18, 0.08)",0.1898,0.0719,0.0662,0.3388,Tier 3
σ_H₂Ot (wt%),Exp(10),0.1103,0.1001,0.0125,0.3786,Tier 3
μ_Ea (J/mol),"N(84000, 2000)",84265,937,82337,85844,Tier 3
σ_Ea (J/mol),Exp(0.0005),335,190,108,801,Tier 3
μ_EHT[SA1] (°C),"N(22.5, 2.5)",22.4061,1.4804,19.3502,25.2862,Tier 3
σ_EHT[SA1] (°C),Exp(0.33),0.5986,0.4382,0.1166,1.6856,Tier 3
μ_EHT[SA2] (°C),"N(22.5, 2.5)",22.1136,1.5899,18.9624,25.2469,Tier 3
σ_EHT[SA2] (°C),Exp(0.33),1.0338,1.1771,0.1256,3.8936,Tier 3
μ_EHT[SA3] (°C),"N(22.5, 2.5)",21.7073,1.5404,18.6093,24.6929,Tier 3
σ_EHT[SA3] (°C),Exp(0.33),0.8796,0.8743,0.122,3.0246,Tier 3
μ_RH[SA1],"N(0.85, 0.1)",0.85,0.0752,0.7149,0.9858,Tier 3
σ_RH[SA1],Exp(5),0.1256,0.1563,0.0117,0.588,Tier 3
μ_RH[SA2],"N(0.85, 0.1)",0.8481,0.0739,0.7156,0.9846,Tier 3
σ_RH[SA2],Exp(5),0.1694,0.1846,0.0128,0.6913,Tier 3
μ_RH[SA3],"N(0.85, 0.1)",0.8456,0.0739,0.7148,0.9831,Tier 3
σ_RH[SA3],Exp(5),0.1636,0.1812,0.013,0.6653,Tier 3
e_RH,"N(2.15, 0.5)",1.6501,0.4559,0.7789,2.5689,Tier 3
age (years BP),"N(500, 200)",511.9,153.6,221,815.1,Tier 3
