sample,lab_id,study_area,sens_H2Ot,sens_Ea,sens_EHT,sens_RH,var_contrib_H2Ot,var_contrib_Ea,var_contrib_EHT,var_contrib_RH,cov_total,var_taylor,var_actual
1,DHR-1616,SA1,-0.06607032229312182,0.049113013911891885,-37.08126951598651,-530.2554765326795,3.5829541127871535e-5,2365.4137293036893,3533.954696156005,1760.5504389837945,-4988.462825406658,2671.4560748663716,24258.61504825659
2,DHR-1617,SA1,-0.0866194297603613,0.06437667723883163,-48.59486363538706,-695.3554827828041,6.215231635985822e-5,4093.9329039418053,6027.5835635876565,2995.9836457281085,-8583.9069022062,4533.593273203687,23023.68532318725
3,DHR-1618,SA1,-0.08960085686066321,0.06660364009853689,-50.28174493533452,-718.9963960769139,6.48578003714577e-5,4370.696133973794,6259.810263988043,3217.05857314359,-9154.255094951994,4693.309941011234,24816.67172686087
4,DHR-1619,SA1,-0.141734114495776,0.10533269404044807,-79.49354893517445,-1136.332994016633,1.6402041760550345e-4,10834.78976472165,16053.279094584535,7991.89130113472,-22984.30425546082,11895.656069000506,22185.004790427352
5,DHR-1620,SA1,-0.16619754088718253,0.12348748530652405,-93.17405500967106,-1329.3050741017933,2.2684956175013469e-4,14985.96124755234,21613.82226076388,10961.992914438026,-31575.444733749177,15986.331915854633,21257.977103743302
6,DHR-1621,SA1,-0.08523362553935243,0.06334808385334828,-47.81967767892869,-683.7377086156266,5.990657426723149e-5,3967.439959629787,5705.302773976342,2891.5962803759517,-8197.388862546908,4366.9502113417475,24206.724915982322
7,DHR-1622,SA1,-0.04293879505669196,0.03192089473605338,-24.10356992758009,-344.32833576567197,1.525106861587642e-5,1007.6643564628009,1484.9357123261655,741.1432644770697,-2108.549412801013,1125.1939357160913,22781.87556708929
8,DHR-1623,SA1,-0.1958133291420836,0.1454921148907059,-109.76657635254887,-1568.8666221980848,3.151725632427479e-4,20924.19857074895,30453.436287164142,15236.58806636434,-43370.8024008479,23243.42083860209,20526.122292456006
9,DHR-1624,SA1,-0.04132359287557463,0.030719658956219663,-23.194212774700173,-331.2686420039218,1.4132912479220358e-5,932.8789311155622,1344.138613683104,700.4490095872104,-1958.3275909518838,1019.1389775669054,22853.361296893934
10,DHR-1625,SA1,-0.17217942377811823,0.12793435481730575,-96.53458140827324,-1377.2237361769076,2.417437863467251e-4,16043.711682440358,23525.275934396017,11642.639514584853,-33617.178927278685,17594.44844588633,21855.4592988565
11,DHR-1626,SA1,-0.07243066735222214,0.05384241746758063,-40.653406773872476,-580.2552810058642,4.196451922301408e-5,2851.4948308704356,4171.14808900168,2087.3762782394856,-5925.757052854121,3184.2621872219997,24033.680095363223
12,DHR-1627,SA1,-0.14956233651490436,0.11114548308327821,-83.88611322400806,-1198.194277295564,1.8205045488798436e-4,12364.57483373095,17645.563347581483,8904.81170863949,-25731.81479514457,13183.135276857807,22269.498054331627
13,DHR-1628,SA1,-0.09140712119891248,0.06794263230341523,-51.290839272531755,-733.1278207007139,6.896648649371333e-5,4564.117352364813,6680.777896303087,3371.9174942834757,-9534.440571716414,5082.372240201448,24419.23375822414
14,DHR-1629,SA1,-0.12641943273840184,0.09395103443848705,-70.91062529882034,-1012.1330270299715,1.3092272815211852e-4,8708.312905650959,12835.275204711174,6442.96884840626,-18374.265412265668,9612.291677425452,23352.905540921274
15,DHR-1630,SA1,-0.11462475596962918,0.08519082068561087,-64.29903623299731,-918.9617011851298,1.0734342098942525e-4,7149.4368181185955,10410.912914105313,5322.936235753361,-14941.215761720407,7942.070313600285,24406.527093519755
16,DHR-1631,SA1,-0.06173587163215899,0.04589143281334787,-34.65073400643989,-494.38360677187205,3.143785478486882e-5,2093.2868138379476,3020.6402068264265,1516.6606017657962,-4345.465644921947,2285.1220089460776,24102.350179554156
17,DHR-1632,SA1,-0.08637149826616053,0.06419542281503496,-48.458551602616296,-692.4227736578895,6.121979150908273e-5,4030.6548026026503,5918.315990337332,2989.031080856517,-8477.479137723656,4460.522797292635,24479.628416774653
18,DHR-1633,SA1,-0.19041193480509833,0.14147552178189735,-106.73946935597786,-1524.802760252653,2.913274303467617e-4,19652.245699291187,28886.439731253147,14486.31861507085,-41273.61861958012,21751.385717362493,20886.788500358132
19,DHR-1634,SA1,-0.10293141551333918,0.07649991991995103,-57.74040420569217,-825.3150580027223,8.728693729954251e-5,5758.240815507263,8345.534532953285,4227.66255930471,-12111.611972253242,6219.826022798952,24192.112917922197
20,DHR-1635,SA1,-0.06118722815442368,0.04548193072859584,-34.33882532696864,-490.6012533157317,3.095900854090539e-5,2045.9290690224504,2976.57224268939,1521.2783493982954,-4251.88873068529,2291.890961383854,24409.99330137036
21,DHR-1636,SA1,-0.09072586455700105,0.06743719800070894,-50.911045602923885,-727.457996673895,6.705150440983332e-5,4485.493754473235,6537.104247410986,3278.2555192102614,-9303.690387765437,4997.16320038055,24662.076733501355
22,DHR-1638,SA1,-0.17532664182100177,0.13027423520066372,-98.2959072653326,-1406.0461658792237,2.496700481059002e-4,16764.646644564888,24207.808749322932,12214.066789600429,-35274.23274235749,17912.28969080081,21577.633149181824
23,DHR-1639,SA1,-0.122802450747173,0.09126218786220018,-68.87882770759937,-982.6178668354953,1.2377823095684117e-4,8213.538008683736,11834.059060509444,5893.758367206358,-17187.205427308654,8754.150132869116,24248.929696469266
24,DHR-1640,SA1,-0.12864629389275706,0.09560562499297912,-72.15338721903329,-1031.7777814101892,1.3617215891619669e-4,8989.9604228277,13015.293922172797,6750.932702641647,-18788.74871086566,9967.438472948641,23020.053278931988
25,DHR-1641,SA1,-0.09973750395381842,0.07413558392508868,-55.96397984965363,-799.4755149202553,8.186478575409521e-5,5381.161658584834,7950.926512350634,4022.467851571129,-11440.853550266118,5913.702554105264,23767.64915504257
26,DHR-1642,SA1,-0.08124909005766057,0.060396135260944124,-45.59708453248498,-651.8422368579666,5.380595162199466e-5,3605.3437660978884,5272.925048154715,2660.419452647755,-7547.5224149164715,3991.1659057898396,24622.335694537724
27,DHR-1644,SA1,-0.18413822196187368,0.13682891280409987,-103.25128665058772,-1476.2569004058055,2.774160450586457e-4,18479.08743219636,26586.796090494045,13363.798296668401,-38479.00877997691,19950.67331679794,20828.03125395851
28,DHR-1646,SA1,-0.09972839570689018,0.07412179470792052,-55.95272353379961,-799.3238041951497,8.081260280170688e-5,5424.503839607087,7886.213439112424,3954.1912611176385,-11427.272033175925,5837.636587473828,24095.97666920312
29,DHR-1647,SA1,-0.11539370463196974,0.08576276838119587,-64.73088082655619,-924.597606530903,1.1069046277427047e-4,7245.493372061868,10363.069366453605,5342.06875008633,-14936.098791545564,8014.532807746704,23754.26774955469
30,DHR-1648,SA1,-0.11868246942552219,0.08820619249873646,-66.57647224707112,-951.1273205843653,1.1602251608085037e-4,7715.347509765703,11207.874645929696,5646.587280069404,-16102.856593818084,8466.952957969239,23412.629198211536
31,DHR-1649,SA1,-0.04539905221468743,0.03374555892698457,-25.47699943110247,-364.57916728393315,1.6957640820592314e-5,1130.9119018447734,1630.050378715408,830.6160036244596,-2347.563351157091,1244.014949985191,23499.155287622238
32,DHR-1650,SA1,-0.13178768664735685,0.09793927606001201,-73.9148842400907,-1053.1952431277693,1.4264216543085796e-4,9468.3133655559,13759.59000881962,6899.0629416508755,-19725.52482237207,10401.441636296491,23637.042902414294
33,DHR-1652,SA1,-0.1865744927277433,0.13862032031035376,-104.57974837201907,-1494.7924508757396,2.879421626718897e-4,18738.249577987353,27707.60310141307,13810.437839177168,-39733.06952867491,20523.221277844845,20993.295291113092
34,DHR-1653,SA1,-0.061974796455253056,0.04606934461192586,-34.78177308759853,-496.9650664992486,3.115527168164661e-5,2116.045921243079,3047.8974879756324,1522.5221360547143,-4391.938835278852,2294.526741149846,24074.651233908175
35,DHR-1654,SA1,-0.10137609252285529,0.07534511761214359,-56.87321726525149,-813.6180121390884,8.497365552242923e-5,5629.369981530837,8184.14441364273,4063.1408528195702,-11931.013451477298,5945.641881489497,24197.839161777854
36,DHR-1655,SA1,-0.07787775114127271,0.05788830583258106,-43.70218678348429,-623.7311528840888,4.963034701267919e-5,3343.6540885709824,4836.783973394837,2394.6906434920074,-6946.850977232039,3628.277777856134,24081.308020652184
37,DHR-1656,SA1,-0.11209307309626126,0.08331520714840682,-62.89025335455045,-898.9154395216791,1.0390419728123102e-4,6802.641679333549,10139.189913960272,5028.359562055116,-14540.347148311532,7429.844110941602,23464.335152516054
38,DHR-1657,SA1,-0.20192395356792758,0.15001750361048843,-113.16880129886812,-1618.3735825796941,3.3851646880350196e-4,22192.508818415827,32286.23717261881,16203.9928908407,-46315.35828060905,24367.38093978275,20567.033726998572
39,DHR-1658,SA1,-0.13807555371501223,0.10261180009045678,-77.43787398581343,-1106.1150033778074,1.5701650748102246e-4,10353.826633923978,15204.50662952641,7506.400371396153,-21766.203106934565,11298.530684928479,22772.68081865186
40,DHR-1660,SA1,-0.1030673234877213,0.07661071554848023,-57.83392180595191,-825.4889715243203,8.639819110541313e-5,5747.822604937571,8419.561438851024,4271.052085519529,-12243.110777694003,6195.325438012313,23719.79432929031
41,DHR-1662,SA1,-0.07956290473293848,0.05914351554098644,-44.651821686819474,-637.8199546547326,5.213468395948581e-5,3442.0058596381787,5038.712181945194,2541.3871279847776,-7210.807751533953,3811.297470168881,24476.51703044873
42,DHR-1664,SA1,-0.1340031558998902,0.09958969648881903,-75.16106415970619,-1073.4461256449429,1.4748706016071413e-4,9628.053472468326,14267.403133382626,7105.789960696524,-20248.81313392688,10752.433580107652,23453.998790768102
43,DHR-1666,SA1,-0.18084378087033315,0.13436480844623427,-101.37809741292598,-1447.2700240365432,2.657777276278387e-4,17830.172162685798,25688.799989405496,12925.356551279587,-37007.81872501265,19436.510244135963,21172.249570369226
44,DHR-1668,SA1,-0.1456967234690012,0.10827173882050703,-81.70832537863672,-1166.4905619002072,1.7530739619514056e-4,11607.994774021972,16900.966544821593,8451.736001983843,-24076.078032870624,12884.619463264178,23055.456329920096
45,DHR-1670,SA1,-0.15502747281945517,0.11519893027444944,-86.93084170303331,-1241.671431786166,1.9665467126581305e-4,13121.903314683368,19024.758978861064,9554.360661357527,-27700.698799257352,14000.324352299274,22645.54667331217
46,DHR-1673,SA1,-0.07284408460815683,0.05414587891510559,-40.87602684395611,-583.7920157924416,4.323866684028522e-5,2839.482861228815,4249.884487572498,2175.221344205233,-6049.721216142673,3214.867520102539,22895.26429870063
47,DHR-1675,SA1,-0.0764532811146239,0.05682902705651426,-42.9037273384872,-613.1149987777412,4.826882331855422e-5,3204.3166283299543,4644.850169388771,2331.2758435755977,-6680.706183036993,3499.7365065261547,23544.18428183298
48,DHR-1677,SA1,-0.02961063791100571,0.022013927038513716,-16.624363593171868,-237.5724095517262,7.117266748438131e-6,479.5373420447203,701.3321094125877,351.09394610486606,-996.2986153505442,535.6647893288966,22520.53204757263
49,DHR-1678,SA1,-0.05264060044019203,0.03913289931143328,-29.548023692261722,-422.2920114487169,2.253310372582496e-5,1495.7293629510104,2205.311449121106,1113.60290992969,-3171.941048837458,1642.7026956974523,23851.987626352864
50,DHR-1682,SA1,-0.15798791731951667,0.11741290921800436,-88.60695384047695,-1265.1462643095397,2.105473135649053e-4,13587.386037676471,19762.559715096413,9867.649311484716,-28503.594264529882,14714.001010275035,21206.509590230147
51,DHR-1683,SA1,-0.10505646135140978,0.07807685777449061,-58.929362954492774,-843.3563045915297,9.013127661236418e-5,6038.433344167957,8629.045494528873,4377.758156756651,-12561.843442628484,6483.393642956275,24193.188293542502
52,DHR-1685,SA1,-0.11012785879871956,0.0818584044261273,-61.7973916048459,-883.9786555146186,1.0047978592709013e-4,6554.748673366267,9628.54948199811,4840.114171882322,-13707.261746759255,7316.15068096723,24102.445527476524
53,DHR-1686,SA1,-0.09567864180218066,0.07111532976835985,-53.68392372056533,-768.0091679693471,7.457056394593642e-5,4975.546536936961,7296.33820131044,3674.2630613801525,-10487.45154764349,5458.696326554627,24959.044202317808
54,DHR-1687,SA1,-0.08723823434488054,0.06484150796505518,-48.94837684513064,-699.3706991032232,6.330049557490443e-5,4164.289510769353,6109.977282848742,3030.311244112658,-8727.417516078916,4577.160584952333,23739.67385874839
55,DHR-1688,SA1,-0.09357049896878777,0.06955323112150713,-52.51009303857356,-749.8169597538016,7.030842577064696e-5,4794.143106442461,6967.923735819399,3494.306845471771,-9908.061933547344,5348.311824494713,24016.83232140497
56,DHR-1690,SA1,-0.18066455086228927,0.13423478356779958,-101.27991800789619,-1447.2693475247665,2.6920428652466586e-4,17789.051878751663,25810.41635818082,12857.300248673206,-37401.33421108345,19055.43454372653,21538.110498571794
57,DHR-1693,SA1,-0.1153817293952244,0.08575557097199607,-64.73163872288666,-925.30719697814,1.0962656123593357e-4,7142.988392834392,10563.953133239662,5259.883698017039,-15102.41818164961,7864.4071520680445,23767.591930019895
58,DHR-1694,SA1,-0.15177081802193015,0.11277884456747309,-85.1104618268974,-1214.7064828429504,1.8607867158991205e-4,12552.967292727102,18276.51426599779,9078.723646307233,-26218.327742286187,13689.877648824608,21998.89255835378
59,DHR-1696,SA1,-0.08900907350670195,0.06615982443853555,-49.94287525785461,-713.3424937156217,6.565239469277182e-5,4330.466530960553,6329.445709937511,3182.5912463815926,-9035.430489109713,4807.0730638223395,24842.304545032235
60,DHR-1697,SA1,-0.09528454567180944,0.07081977948878405,-53.459166560737216,-763.8038013019415,7.453452243952372e-5,4952.854963173186,7209.532089169196,3634.7985416303923,-10401.653416137593,5395.532252369703,23711.618231149303
61,DHR-1698,SA1,-0.10555003366225435,0.07844916668542769,-59.217760272354006,-845.4693701222526,9.12252176170014e-5,6051.065042971982,8728.950436285551,4497.926430162612,-12638.622314977598,6639.319685667768,24374.82049060294
62,DHR-1699,SA1,-0.07180635009591185,0.05337478064998199,-40.29362856046037,-575.6481587610652,4.289079559545169e-5,2773.0067951618425,4122.6878770325675,2057.734642475091,-5905.385668007182,3048.0436895531147,23471.37716806444
63,DHR-1700,SA1,-0.10796209917891986,0.0802326865314779,-60.55619001640613,-865.1626395302504,9.564568161625993e-5,6310.096116668631,9182.706630674942,4643.766055835655,-13266.424344518167,6870.144554306742,23187.756774775266
64,DHR-1701,SA1,-0.14549045429967578,0.10811305187463992,-81.57816201098112,-1164.1092553095725,1.760599001223737e-4,11463.32234786349,16588.499730987813,8504.986757706241,-23942.69769066446,12614.111321952983,22545.565509317385
65,DHR-1702,SA1,-0.14906707692203724,0.11077886084534586,-83.59566195340562,-1193.9894628756933,1.8080940758007948e-4,12143.44161791826,17588.623669491575,8840.316727923071,-25467.201571499016,13105.1806246433,22754.344575351042
66,DHR-1705,SA1,-0.11415205539520912,0.08483768600681742,-64.03357966144547,-913.2369983670901,1.0781637460342432e-4,7069.349273177684,10381.516396960073,5170.534231483846,-14773.543837196972,7847.856172241005,24165.777653740173
67,DHR-1706,SA1,-0.10770366380359064,0.08005505830413513,-60.4293429485298,-863.4278927071562,9.506888757875816e-5,6375.537532498,9196.543313436488,4678.320841847629,-13271.554371120112,6978.847411730892,23603.47116740346
68,DHR-1707,SA1,-0.08567155836715301,0.0636781668259498,-48.07182776698,-687.2703297894757,6.053303557655873e-5,3992.9729161126215,5808.988216594144,2948.6976606126236,-8353.73362502231,4396.925228830116,24539.13434674462
