lab_id,study_area,stevenson_age,stevenson_sd,post_mean,post_sd,q025,q975,ci_width,age_diff,exceeds_claimed
DHR-1616,SA1,327.5943806226352,30,447.26295211540827,156.931242331756,165.52225314635155,771.7290878271887,606.2068346808371,119.66857149277308,TRUE
DHR-1617,SA1,393.6031837077273,30,482.2063795464979,153.6613860415776,192.26808928883193,793.0596484430203,600.7915591541883,88.6031958387706,TRUE
DHR-1618,SA1,383.3504031264037,30,485.33372602483524,155.72154371275892,192.2045266848903,799.5580983804446,607.3535716955543,101.98332289843154,TRUE
DHR-1619,SA1,565.623660995245,30,553.6671905806658,151.67807719509346,261.4640944292102,839.9925878210967,578.5284933918865,-11.956470414579258,TRUE
DHR-1620,SA1,653.4385919180268,30,579.1163321011735,149.70852252934054,284.4070950397005,856.2723419844715,571.865246944771,-74.32225981685326,TRUE
DHR-1621,SA1,401.4527334460588,30,480.94706795572955,154.0081248232718,194.76779610624953,795.9602673377947,601.1924712315451,79.49433450967075,TRUE
DHR-1622,SA1,253.59765550446147,30,402.52646697967566,155.36528800429352,137.09292459937177,734.3435896863061,597.2506650869343,148.9288114752142,TRUE
DHR-1623,SA1,728.308716958112,30,606.1850262432195,143.8977805558176,317.5905345025403,865.4133269931308,547.8227924905905,-122.12369071489252,TRUE
DHR-1624,SA1,258.1373075638089,30,399.5157985184758,152.4473719725274,141.4484373374082,724.133147077342,582.6847097399337,141.37849095466686,TRUE
DHR-1625,SA1,673.0598715931487,30,586.0775179773701,145.9682915676333,297.05586974578,854.6630139874138,557.6071442416338,-86.9823536157786,TRUE
DHR-1626,SA1,382.28527678255466,30,457.73657613528326,156.45606151571613,167.71800489235662,778.1139944274943,610.3959895351377,75.4512993527286,TRUE
DHR-1627,SA1,568.0216037823345,30,561.6757453481558,151.4977010287565,262.8595714775153,847.3708242991928,584.5112528216775,-6.3458584341786946,TRUE
DHR-1628,SA1,427.690708899932,30,489.98666382137714,155.06460068441146,199.72398716403944,804.2995806314856,604.5755934674462,62.295954921445116,TRUE
DHR-1629,SA1,520.6790264912705,30,536.2481698941439,155.22251688552277,233.3374327365507,836.3832901666732,603.0458574301225,15.569143402873351,TRUE
DHR-1630,SA1,480.4984694233154,30,521.9970731002587,154.39341148373296,228.00616309477948,825.2175235775162,597.2113604827367,41.49860367694333,TRUE
DHR-1631,SA1,308.44697416632164,30,440.59158585855323,157.7844149274846,158.52088642721137,765.9926442601541,607.4717578329427,132.1446116922316,TRUE
DHR-1632,SA1,393.501601174955,30,482.2193744266937,154.7891631818648,192.1058664372149,799.2666649424776,607.1607985052627,88.71777325173872,TRUE
DHR-1633,SA1,669.2750604325465,30,600.6254119744706,144.0241751699546,314.75621721078346,862.4395928510334,547.6833756402499,-68.64964845807594,TRUE
DHR-1634,SA1,436.0765294842161,30,507.818522605978,155.14341112885333,213.10489915768446,817.203950906949,604.0990517492645,71.74199312176188,TRUE
DHR-1635,SA1,314.74696184531103,30,439.13937813434444,154.78956548057687,155.2744519107411,762.9974381970796,607.7229862863385,124.3924162890334,TRUE
DHR-1636,SA1,410.838586994008,30,489.0993179076139,154.66050349626295,204.53304157639562,803.3843334974534,598.8512919210579,78.26073091360593,TRUE
DHR-1638,SA1,646.314133878384,30,588.9571566883363,149.51733619214795,289.1620045321505,862.6066123791608,573.4446078470103,-57.3569771900477,TRUE
DHR-1639,SA1,489.0735962223376,30,531.418992430768,149.93920331668272,240.19179529660028,827.0434885797758,586.8516932831756,42.34539620843037,TRUE
DHR-1640,SA1,552.484785647533,30,539.4610728181345,152.2641485548685,247.99664968342697,835.4553823109321,587.4587326275051,-13.023712829398505,TRUE
DHR-1641,SA1,423.0662863215381,30,501.2329950602551,155.6305864475832,207.2825179985715,809.4775415750222,602.1950235764507,78.16670873871703,TRUE
DHR-1642,SA1,382.5136869155962,30,471.1532831470595,155.53800626058123,182.10582463867453,784.4758911219149,602.3700664832403,88.63959623146326,TRUE
DHR-1644,SA1,714.3667760701381,30,596.3216187426266,145.0501713241195,310.4562484219834,861.7334947538361,551.2772463318527,-118.04515732751156,TRUE
