sample_id,study_area,var_baseline,var_ENSO,var_year_to_year,var_combined,var_spatial,var_temporal
1,SA1,3.031576340784292e-4,3.033437720818313e-4,3.0318736922244375e-4,3.0337417367182163e-4,3.031576340784292e-4,2.165395933924146e-7
2,SA1,2.9773061514994624e-4,2.9773348077829863e-4,2.9773820798234736e-4,2.9774104649612484e-4,2.9773061514994624e-4,1.0431346178605295e-8
3,SA1,2.981826580816879e-4,2.985617171774637e-4,2.9866768322016335e-4,2.990508470076281e-4,2.981826580816879e-4,8.68188925940165e-7
4,SA1,2.6375517724330197e-4,2.6394630783875973e-4,2.6387595813202473e-4,0.00026406517157224433,2.6375517724330197e-4,3.0999432894235736e-7
5,SA1,2.8577168935139344e-4,2.858841639993256e-4,2.859584030159714e-4,2.860712747508667e-4,2.8577168935139344e-4,2.995853994732455e-7
6,SA1,3.050021118765639e-4,3.050038927282775e-4,3.050740710109033e-4,3.0507601439187874e-4,3.050021118765639e-4,7.390251531482622e-8
7,SA1,3.0506970867445017e-4,3.0516446706400967e-4,3.04941602506404e-4,3.0503729864553433e-4,3.0506970867445017e-4,-3.241002891583855e-8
8,SA1,2.5430276529436627e-4,2.5453072924528606e-4,2.5450559198358013e-4,2.5473023440560235e-4,2.5430276529436627e-4,4.274691112360774e-7
9,SA1,3.266408097882426e-4,3.2664553487634366e-4,3.266325125737467e-4,3.266374039711115e-4,3.266408097882426e-4,-3.4058171310860468e-9
10,SA1,2.450330608180316e-4,2.4505515545220736e-4,2.4512139834308974e-4,2.4514373117587193e-4,2.450330608180316e-4,1.1067035784030708e-7
11,SA1,3.095699916818414e-4,3.0957198126393645e-4,3.095948992723908e-4,3.095968263060275e-4,3.095699916818414e-4,2.6834624186091154e-8
12,SA1,2.739326369020182e-4,2.7401621965547304e-4,2.7391127078566993e-4,2.7399618648649284e-4,2.739326369020182e-4,6.354958447462537e-8
13,SA1,3.1170247961429784e-4,3.117219623324691e-4,3.117333877831206e-4,3.1175270709939124e-4,3.1170247961429784e-4,5.022748509339939e-8
14,SA1,3.0189415993015493e-4,3.0191635872909407e-4,3.019019054125419e-4,3.019246983498345e-4,3.0189415993015493e-4,3.053841967959369e-8
